                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.66006,                0.32366,                0.79561,                0.99263,                0.98978,                0.99471,                0.83628,                0.69614,                0.34547,                 0.8158,               0.002476,               0.002476,               0.002476
                     78,                0.66851,                0.32806,                0.79151,                 0.9935,                 0.9908,                0.99473,                0.84208,                0.68597,                0.34881,                0.81454,               0.002377,               0.002377,               0.002377
                     79,                0.61814,                0.32331,                0.79565,                0.99282,                0.99018,                0.99467,                0.85016,                0.65486,                0.34457,                0.81278,               0.002278,               0.002278,               0.002278
                     80,                0.63856,                0.32517,                0.80201,                0.99283,                0.99058,                0.99459,                0.82942,                0.70456,                0.33912,                0.81794,               0.002179,               0.002179,               0.002179
                     81,                0.63411,                0.32178,                 0.7982,                 0.9933,                 0.9908,                0.99465,                0.82997,                0.70564,                0.34227,                  0.817,                0.00208,                0.00208,                0.00208
                     82,                0.66206,                0.33356,                0.79002,                0.99334,                0.99106,                0.99467,                0.83642,                0.67857,                0.34322,                0.81416,               0.001981,               0.001981,               0.001981
                     83,                0.60895,                0.32098,                0.79467,                0.99334,                 0.9911,                0.99467,                0.83739,                0.67222,                0.34141,                0.81341,               0.001882,               0.001882,               0.001882
                     84,                0.62507,                0.32376,                0.79346,                0.99283,                0.99113,                0.99467,                0.85175,                0.63311,                0.32476,                0.80943,               0.001783,               0.001783,               0.001783
                     85,                0.60508,                0.31166,                0.79302,                0.99283,                0.99166,                0.99469,                0.84741,                0.65657,                0.33068,                0.81053,               0.001684,               0.001684,               0.001684
                     86,                0.64558,                0.32324,                 0.8013,                0.99333,                 0.9894,                 0.9947,                0.83647,                0.70039,                0.34301,                0.81378,               0.001585,               0.001585,               0.001585
                     87,                0.63528,                0.31956,                0.80325,                0.99411,                0.98978,                0.99471,                0.83558,                0.70685,                0.34367,                0.81468,               0.001486,               0.001486,               0.001486
                     88,                0.66962,                0.34045,                 0.8007,                0.99257,                0.99131,                0.99467,                 0.8553,                0.63264,                0.32424,                0.80998,               0.001387,               0.001387,               0.001387
                     89,                0.61127,                0.31476,                0.79351,                0.99231,                0.99017,                0.99462,                0.85209,                0.63889,                0.32593,                0.81076,               0.001288,               0.001288,               0.001288
                     90,                0.63677,                0.32354,                0.79421,                0.98828,                0.98926,                0.99448,                0.85182,                0.64412,                0.32989,                0.81145,               0.001189,               0.001189,               0.001189
                     91,                0.63473,                0.33584,                0.80214,                0.98818,                0.98875,                 0.9944,                0.85247,                 0.6376,                0.33119,                0.81113,                0.00109,                0.00109,                0.00109
                     92,                0.61373,                0.32892,                 0.7858,                 0.9893,                0.99219,                0.99459,                0.85492,                0.62296,                0.32496,                0.80923,               0.000991,               0.000991,               0.000991
                     93,                0.65036,                 0.3348,                0.80028,                0.99232,                0.99073,                0.99469,                0.85798,                0.61771,                0.32211,                0.80802,               0.000892,               0.000892,               0.000892
                     94,                0.61475,                0.32243,                0.79336,                 0.9934,                 0.9908,                0.99477,                 0.8618,                0.61073,                0.32207,                0.80657,               0.000793,               0.000793,               0.000793
                     95,                0.62947,                0.32416,                0.78857,                0.99286,                0.99029,                0.99479,                0.86428,                0.60496,                0.32223,                0.80545,               0.000694,               0.000694,               0.000694
                     96,                0.61978,                 0.3191,                0.80022,                0.99401,                0.99029,                0.99483,                0.86272,                0.60382,                 0.3175,                 0.8052,               0.000595,               0.000595,               0.000595
                     97,                0.61252,                0.31281,                0.79989,                0.99404,                0.99029,                0.99483,                0.86287,                0.60326,                0.31506,                0.80533,               0.000496,               0.000496,               0.000496
                     98,                 0.6224,                0.31308,                0.80574,                0.99378,                0.99029,                0.99483,                0.86209,                0.60278,                0.31185,                0.80518,               0.000397,               0.000397,               0.000397
                     99,                0.62798,                0.31886,                0.79626,                0.99375,                0.99029,                0.99483,                0.86172,                0.60094,                0.30987,                0.80485,               0.000298,               0.000298,               0.000298
                    100,                0.61068,                 0.3115,                0.79553,                0.99435,                0.99028,                0.99482,                0.86236,                 0.6005,                0.30877,                0.80467,               0.000199,               0.000199,               0.000199
